epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,3.1884542375994034,3.1843129063072877,95.69410014356303,95.63301282051282,78.98267436231303,78.8078112479968
2,3.182139686603322,3.1799342446029186,95.6043210803953,95.54725060096153,78.72309236444978,78.47462189503204
3,3.1726217085224953,3.144868291484622,95.29794546274039,93.86377579126602,78.00595536191238,75.23068159054488
4,2.6635694875039606,2.552249933903416,85.9039045806624,83.71488131009616,55.89338775373932,52.477714342948715
5,2.527584736768761,2.509589625665775,81.74501076722757,81.06892903645833,51.93105844350961,51.73652844551282
6,2.475308478738253,2.425303434785933,79.91953792735043,78.57885116185898,50.92903854500534,49.621895032051285
7,2.365539920158111,2.3094772446231966,76.85312124399039,75.18341846955128,47.617594401041664,46.58312675280449
8,2.2862594280169053,2.2644125484765913,75.22259573651175,74.92644481169872,46.20079627403846,46.006266276041664
9,2.2436784328176427,2.2339787069254387,74.346923828125,73.90872270633012,45.50875150240385,45.40718274238782
10,2.219480008062007,2.204211947472336,73.83109850761218,73.51277669270833,45.09579911191239,44.6620843349359
11,2.2032670873957567,2.187234898551534,73.52347088675214,73.3162121895032,44.672830695779915,44.49744591346154
12,2.1907008678421507,2.178457302733874,73.20160172943376,72.84796299078525,44.35930822649573,44.049385266426285
13,2.1791243395234785,2.1781903639411886,72.9496360844017,72.83810346554488,43.96649222088675,44.06237479967949
14,2.1677638806370845,2.1494496210406604,72.59677984775641,72.10411658653845,43.64201472355769,43.10208834134615
15,2.1561560589724627,2.139079921389333,72.31142745058762,71.96623973357372,43.31863272903312,42.94950045072115
16,2.1440801676840353,2.130311073568196,71.98277660924145,71.73508864182692,42.95346512753739,42.58282001201923
17,2.1321311680297566,2.1289505075054387,71.69992821848291,71.43179086538461,42.620745275774574,42.542286408253204
18,2.117801885224051,2.1231453169961103,71.34107279981303,71.44337189503204,42.212227063301285,42.84041967147436
19,2.104324656371505,2.0875456033346174,71.02535932491988,70.7485101161859,41.86964768629808,41.60328400440705
20,2.0917742929747725,2.082315371449416,70.66702557425214,70.29825846354167,41.56316773504273,41.51094876802885
21,2.0792374324976888,2.065499948588415,70.25876819577991,70.06116035657051,41.18756677350427,41.20702498998397
22,2.067888322103227,2.055457066469945,69.87560304821046,69.44955679086539,40.899971203926285,40.78588241185897
23,2.057141576280706,2.042472617718606,69.58299946581197,69.16394355969551,40.66417726696047,40.20902193509615
24,2.046894386394793,2.037022125740082,69.25732213207799,68.85485526842949,40.329579410389954,40.27052659254808
25,2.038499224708121,2.030489437825357,68.98965428018163,68.92293294270833,40.10552300347222,40.34298627804487
26,2.0295318155111666,2.029563601475018,68.71207473624466,68.54811448317308,39.89873380742522,40.00118940304487
27,2.020571622472161,2.0064789592467536,68.49349584334936,68.01804762620192,39.53784388354701,39.261881510416664
28,2.013057819607421,1.997251043920047,68.22123731303418,67.8920648036859,39.28812141092415,38.648243439503204
29,2.0062697208367095,1.9875031107117256,68.04939987313034,67.49486678685898,38.999169504540596,38.36889022435897
30,1.9988980584610732,1.9888818290693542,67.87177191840277,67.72554837740384,38.71105226696047,38.31364558293269
31,1.9906153036838667,1.9807671192579737,67.65006301749466,67.25291716746796,38.362891042334404,37.92943709935897
32,1.9815683297367177,1.9642385462185559,67.39877554086539,67.07106370192308,38.01165197649573,37.41235977564103
33,1.9724349737262878,1.9685645477267173,67.12390867053952,66.71768579727564,37.64335436698718,37.364940154246796
34,1.9642475730238051,1.944750679597163,67.0017340244391,66.27682416866986,37.30797400841346,36.690736428285255
35,1.9532017569161124,1.9371550904933172,66.76161024305556,66.4898212139423,36.88004974626068,36.77415114182692
36,1.94534312790403,1.9521719970835898,66.6424091045673,66.74929887820514,36.50058844150641,36.6359612880609
37,1.9361746202613044,1.9142973545270088,66.45184378338675,66.0697741386218,36.175224108573715,35.68819486177884
38,1.925298228748461,1.9029702625494116,66.19560046073718,65.59917743389423,35.751473190438034,35.307585887419876
39,1.9153731255991082,1.9440713222243058,65.97759540264423,66.63599258814102,35.463668953659194,36.86194786658654
40,1.9020490064007094,1.881319916795175,65.69876385550214,65.2534680488782,35.06156725761218,34.59723056891026
41,1.8983874942980006,1.8922167417208233,65.65609141292735,65.52437024238782,34.958955161591874,34.88957331730769
42,1.892125233132233,1.8813117310458507,65.45837924011752,65.1508037860577,34.77605836004274,34.619923127003204
43,1.8827233769031417,1.8596771664332408,65.2572762252938,64.69100560897436,34.49028862847223,34.12757286658653
44,1.8768850326952007,1.8493418870240044,65.1454827724359,64.49522360777243,34.32017269297543,33.623485076121796
45,1.870659777146374,1.8547744192093467,64.9348853999733,64.39803685897436,34.10634097889957,33.65666316105769
46,1.8646969486218996,1.8616222394212412,64.86639039129273,64.88287510016025,33.918488331330124,34.032890124198715
47,1.8606381373336682,1.858879204505147,64.74473741319444,64.87035506810898,33.847176315438034,33.9504144130609
48,1.8553543782546225,1.8470943132266164,64.64243831797543,64.4695575420673,33.70340461404915,33.64774263822116
49,1.849504243550647,1.8271117562022157,64.47007921006944,63.9919183193109,33.567927433894226,33.293895232371796
50,1.8439209105080774,1.8352433738256924,64.36350243723291,64.44326547475961,33.40814052483974,33.344914362980774
51,1.8404718129298625,1.8225225050536653,64.27419287526709,64.01664538261218,33.327647152110046,33.01673302283653
52,1.8363853364577916,1.8358265458970355,64.22338241185898,64.3344976963141,33.26833350026709,33.27887119391026
53,1.833437668509845,1.8151776460297884,64.11445813301282,63.618977864583336,33.17938910590277,32.85804161658653
54,1.8292900164826558,1.8276568879112183,63.995465661725426,64.07517653245192,33.098582732371796,33.319404797676285
55,1.8252331240054889,1.8055541759964306,63.9476808727297,63.53853665865385,32.96425322182158,32.73612780448718
56,1.821616930473182,1.804413106416364,63.79222380809295,63.18860176282051,32.89466271033653,32.65537359775641
57,1.8182732346348274,1.8073352822565283,63.69561089409722,63.53931916065705,32.82335069444444,32.655060596955124
58,1.8157802300893853,1.7954041577930837,63.6215340377938,63.152293669871796,32.71745209001068,32.39073142027243
59,1.8135828069673898,1.796388683646607,63.55768187433227,63.01379081530449,32.693611862313034,32.38681891025641
60,1.8113445504926717,1.7902184443075198,63.48042284321581,62.77418870192308,32.59230393629808,32.257236578525635
61,1.8088840645793667,1.7871894848141938,63.42319586338141,62.838197365785255,32.585887419871796,32.1079351963141
62,1.8048739570200953,1.8018788674455255,63.298778044871796,63.05041190905449,32.47065095819978,32.42860451722757
63,1.804325908008549,1.7876885571145418,63.30435989249466,62.847587389823715,32.46632111378206,32.208408453525635
64,1.8032458786749177,1.786776379878761,63.2419683994391,62.8635504306891,32.41639748597757,32.19964443108974
65,1.8017428166463845,1.78701071965938,63.178690070779915,62.93663611778846,32.38165439703526,32.17335236378206
66,1.799209622459279,1.7788362805291307,63.09986603565705,62.50453851161859,32.326201088408126,32.086025140224365
67,1.7981869561804666,1.7888237305533272,63.116142077323715,62.57496369190705,32.31034238114316,32.09322415865384
68,1.7953864951005094,1.7872612388500084,63.006226629273506,62.69750350560897,32.242160373263886,32.35974434094551
69,1.7927271888201308,1.7876297663803995,62.91076138488248,62.607359274839745,32.19714042467949,32.28806715745192
70,1.7910412947496033,1.7807755756709809,62.810496794871796,62.646171374198715,32.13047125400641,31.999949919871796
71,1.78901325366818,1.7854968689886543,62.75165264423077,62.63537284655449,32.13026258680556,32.50403771033653
72,1.7874768021811023,1.7695538781229585,62.72426507411859,62.24740835336539,32.069123096955124,31.788987379807693
73,1.7859184870448632,1.778361177814823,62.62759999332265,62.61612329727564,32.0041754306891,32.104335687099365
74,1.7850984248181438,1.7770758962843758,62.61075011685363,62.55054962940705,32.01100928151709,32.04392653245192
75,1.783354155926241,1.7642914455978034,62.59264823717949,62.08683894230769,31.97198851495726,31.710737179487182
76,1.7819423245059118,1.7604717174280011,62.51445020365919,61.843324318910255,31.935680422008545,31.52528420472757
77,1.7798743422628722,1.774820764560457,62.44522485977564,62.38888471554487,31.896398821447647,31.865046574519226
