2021-10-18 22:05:13 - INFO - saving to ./results/BLResNet18
2021-10-18 22:05:13 - DEBUG - run arguments: Namespace(results_dir='./results', save='BLResNet18', dataset='rml', model='resnet_binary', input_size=None, model_config='', type='torch.cuda.FloatTensor', gpus='0', workers=8, epochs=200, start_epoch=0, batch_size=256, optimizer='SGD', lr=0.1, momentum=0.9, weight_decay=0.0001, print_freq=100, resume='', evaluate=None)
2021-10-18 22:05:13 - INFO - creating model resnet_binary
2021-10-18 22:05:13 - INFO - created model with configuration: {'input_size': None, 'dataset': 'rml'}
2021-10-18 22:05:13 - INFO - number of parameters: 736312
2021-10-18 22:05:30 - INFO - training regime: {0: {'optimizer': 'SGD', 'lr': 0.05}, 101: {'lr': 0.001}, 142: {'lr': 0.0005}, 184: {'lr': 0.0001}, 220: {'lr': 1e-05}}
2021-10-18 22:05:31 - DEBUG - OPTIMIZER - setting method = SGD
2021-10-18 22:05:31 - DEBUG - OPTIMIZER - setting lr = 0.05
2021-10-18 22:08:22 - INFO - TRAINING - Epoch: [0][2400/7488]	Time 0.071 (0.071)	Data 0.000 (0.001)	Loss 3.1732 (3.1978)	Prec@1 7.031 (4.302)	Prec@5 22.266 (20.964)
2021-10-18 22:08:29 - INFO - TRAINING - Epoch: [0][2500/7488]	Time 0.071 (0.071)	Data 0.000 (0.001)	Loss 3.1826 (3.1973)	Prec@1 3.906 (4.309)	Prec@5 21.875 (20.975)
2021-10-18 22:08:37 - INFO - TRAINING - Epoch: [0][2600/7488]	Time 0.071 (0.071)	Data 0.000 (0.001)	Loss 3.1853 (3.1968)	Prec@1 3.906 (4.308)	Prec@5 22.656 (20.968)
2021-10-18 22:08:44 - INFO - TRAINING - Epoch: [0][2700/7488]	Time 0.072 (0.072)	Data 0.000 (0.001)	Loss 3.1756 (3.1964)	Prec@1 4.688 (4.309)	Prec@5 21.484 (20.986)
2021-10-18 22:08:51 - INFO - TRAINING - Epoch: [0][2800/7488]	Time 0.072 (0.072)	Data 0.000 (0.001)	Loss 3.1866 (3.1960)	Prec@1 3.516 (4.305)	Prec@5 21.094 (20.975)
2021-10-18 22:08:58 - INFO - TRAINING - Epoch: [0][2900/7488]	Time 0.074 (0.072)	Data 0.000 (0.001)	Loss 3.1808 (3.1956)	Prec@1 4.297 (4.307)	Prec@5 18.359 (20.978)
2021-10-18 22:09:05 - INFO - TRAINING - Epoch: [0][3000/7488]	Time 0.072 (0.072)	Data 0.000 (0.001)	Loss 3.1816 (3.1953)	Prec@1 5.078 (4.309)	Prec@5 25.000 (20.982)
2021-10-18 22:09:12 - INFO - TRAINING - Epoch: [0][3100/7488]	Time 0.071 (0.072)	Data 0.000 (0.001)	Loss 3.1770 (3.1949)	Prec@1 3.125 (4.316)	Prec@5 23.438 (20.986)
2021-10-18 22:09:20 - INFO - TRAINING - Epoch: [0][3200/7488]	Time 0.071 (0.072)	Data 0.000 (0.001)	Loss 3.1722 (3.1946)	Prec@1 3.906 (4.313)	Prec@5 25.000 (20.990)
2021-10-18 22:09:27 - INFO - TRAINING - Epoch: [0][3300/7488]	Time 0.071 (0.072)	Data 0.000 (0.000)	Loss 3.2031 (3.1943)	Prec@1 4.297 (4.313)	Prec@5 16.016 (20.997)
