2021-09-26 13:35:05 - INFO - saving to ./results/RML_resnet_2018.01A_BNN
2021-09-26 13:35:05 - DEBUG - run arguments: Namespace(results_dir='./results', save='RML_resnet_2018.01A_BNN', dataset='rml', model='resnet_binary', input_size=None, model_config='', type='torch.cuda.FloatTensor', gpus='0', workers=8, epochs=200, start_epoch=0, batch_size=256, optimizer='SGD', lr=0.1, momentum=0.9, weight_decay=0.0001, print_freq=100, resume='', evaluate=None)
2021-09-26 13:35:05 - INFO - creating model resnet_binary
2021-09-26 13:35:05 - INFO - created model with configuration: {'input_size': None, 'dataset': 'rml'}
2021-09-26 13:35:05 - INFO - number of parameters: 736312
2021-09-26 13:35:23 - INFO - training regime: {0: {'optimizer': 'SGD', 'lr': 0.05}, 101: {'lr': 0.001}, 142: {'lr': 0.0005}, 184: {'lr': 0.0001}, 220: {'lr': 1e-05}}
2021-09-26 13:35:23 - DEBUG - OPTIMIZER - setting method = SGD
2021-09-26 13:35:23 - DEBUG - OPTIMIZER - setting lr = 0.05
2021-09-26 13:38:12 - INFO - TRAINING - Epoch: [0][2300/7488]	Time 0.072 (0.073)	Data 0.000 (0.001)	Loss 23.5426 (27.7161)	Prec@1 3.516 (4.145)	Prec@5 23.047 (20.856)
2021-09-26 13:38:19 - INFO - TRAINING - Epoch: [0][2400/7488]	Time 0.074 (0.073)	Data 0.000 (0.001)	Loss 19.3577 (27.7787)	Prec@1 5.469 (4.148)	Prec@5 20.312 (20.841)
2021-09-26 13:38:26 - INFO - TRAINING - Epoch: [0][2500/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 33.2377 (27.8317)	Prec@1 3.906 (4.147)	Prec@5 23.047 (20.854)
2021-09-26 13:38:33 - INFO - TRAINING - Epoch: [0][2600/7488]	Time 0.075 (0.073)	Data 0.000 (0.001)	Loss 33.5637 (27.8897)	Prec@1 5.078 (4.151)	Prec@5 23.828 (20.862)
2021-09-26 13:38:41 - INFO - TRAINING - Epoch: [0][2700/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 28.8757 (27.9366)	Prec@1 6.250 (4.146)	Prec@5 21.875 (20.844)
2021-09-26 13:38:48 - INFO - TRAINING - Epoch: [0][2800/7488]	Time 0.074 (0.073)	Data 0.000 (0.001)	Loss 33.3040 (27.9932)	Prec@1 5.859 (4.147)	Prec@5 20.703 (20.850)
2021-09-26 13:38:55 - INFO - TRAINING - Epoch: [0][2900/7488]	Time 0.069 (0.073)	Data 0.000 (0.001)	Loss 21.2343 (28.0332)	Prec@1 3.906 (4.143)	Prec@5 23.047 (20.833)
2021-09-26 13:39:02 - INFO - TRAINING - Epoch: [0][3000/7488]	Time 0.072 (0.073)	Data 0.000 (0.001)	Loss 35.8170 (28.0801)	Prec@1 4.688 (4.149)	Prec@5 16.797 (20.844)
2021-09-26 13:39:10 - INFO - TRAINING - Epoch: [0][3100/7488]	Time 0.070 (0.073)	Data 0.000 (0.001)	Loss 36.8389 (28.1015)	Prec@1 3.906 (4.155)	Prec@5 23.047 (20.841)
2021-09-26 13:39:17 - INFO - TRAINING - Epoch: [0][3200/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 29.4845 (28.1487)	Prec@1 5.859 (4.153)	Prec@5 20.312 (20.846)
2021-09-26 13:39:24 - INFO - TRAINING - Epoch: [0][3300/7488]	Time 0.072 (0.073)	Data 0.000 (0.001)	Loss 32.7265 (28.1659)	Prec@1 1.953 (4.153)	Prec@5 21.094 (20.847)
2021-09-26 13:39:32 - INFO - TRAINING - Epoch: [0][3400/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 30.7991 (28.1814)	Prec@1 3.516 (4.156)	Prec@5 19.531 (20.846)
2021-09-26 13:39:39 - INFO - TRAINING - Epoch: [0][3500/7488]	Time 0.070 (0.073)	Data 0.000 (0.001)	Loss 29.2313 (28.2087)	Prec@1 4.297 (4.151)	Prec@5 22.266 (20.826)
2021-09-26 13:39:46 - INFO - TRAINING - Epoch: [0][3600/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 29.8350 (28.2416)	Prec@1 4.297 (4.153)	Prec@5 23.828 (20.835)
2021-09-26 13:39:53 - INFO - TRAINING - Epoch: [0][3700/7488]	Time 0.073 (0.073)	Data 0.000 (0.001)	Loss 24.8630 (28.2450)	Prec@1 7.031 (4.154)	Prec@5 25.391 (20.834)
2021-09-26 13:40:01 - INFO - TRAINING - Epoch: [0][3800/7488]	Time 0.072 (0.073)	Data 0.000 (0.001)	Loss 28.9836 (28.2452)	Prec@1 4.297 (4.166)	Prec@5 25.000 (20.840)
