epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
1,28.579637862296185,27.172599104352486,95.81324911525107,95.72393955328526,79.11794287526709,78.99389022435898
2,28.925089050561954,24.874211409917244,95.78690488114316,95.60249524238782,79.14204393696582,78.76446063701923
3,28.963637706306244,26.379565347272617,95.81251878004808,95.8427233573718,79.13625342214209,79.5940692608173
4,28.970213949170887,30.87420590238001,95.7882090511485,95.68872696314102,79.07281859308226,78.99185571915064
5,28.951239288107963,29.863859389962343,95.81371861645299,95.68653595753204,79.15905031383546,79.34789413060898
6,28.947116470999187,32.93828535470209,95.81163194444444,95.79342573116988,79.16645799946582,79.1118915264423
7,28.884749385536228,25.07728111330802,95.79671223958333,96.44368489583333,79.156494140625,79.8321063701923
8,28.907721440506798,24.35375144218023,95.8183092948718,95.75633513621796,79.17386568509616,78.48729842748398
9,28.965255421833096,34.03713644334139,95.79624273838141,95.79968574719551,79.08966846955128,79.09326797876602
10,28.89382075244545,28.660822293697258,95.81737029246796,95.8270733173077,79.18111687032585,79.16118915264423
11,28.956214234487625,23.634619375929617,95.7679683326656,95.6203362880609,79.06582824185364,80.24573692908655
12,28.850254874963028,26.50149013856665,95.77527168469551,95.79092172475961,79.02712047609509,79.09827599158655
13,28.85261298652388,27.165999377218004,95.78095786591881,95.59873923277243,79.022216796875,79.45869641426282
14,28.737066318081993,34.39591166988397,95.63050881410257,95.45648036858974,78.76941648303954,78.93222906650641
15,28.67106080106181,30.9636371618089,95.6043210803953,95.46665289463141,78.70019113915598,78.78026717748398
16,28.38961442464437,29.05863773655624,95.31312600160257,95.63348232171474,78.11227130074786,79.30704752604167
17,28.262339326815727,27.721527161291586,95.0397198016827,94.12732246594551,77.508544921875,77.86583533653845
18,27.92619689483928,28.271670850710226,94.63746160523505,94.9077899639423,76.36572682959402,77.57427509014423
19,27.07774898982965,27.467817182915333,93.24006952791133,93.35311498397436,72.89079193376068,69.76490509815704
20,26.566566930622116,23.927245763757337,92.37133580395299,91.73881335136218,70.63056098090277,71.67530548878204
21,26.280345268483856,23.73718249692749,91.77141760149573,91.38543544671474,69.24558460202991,69.5155999599359
22,24.259643834880276,20.39994599718678,89.21263605101495,87.03488080929488,64.29333809094551,62.631773337339745
23,22.12771795804684,20.84167091058006,85.05927191840277,87.7483661358173,57.70164554954594,52.45204827724359
24,20.917192483686993,17.453080981826552,82.71025307158119,80.44605744190704,54.6215089977297,52.32935196314103
25,20.206520470034363,25.25492515308687,80.43682391826923,82.04126602564102,52.823841062366455,53.83112980769231
26,19.738931260175175,25.534491496534127,79.42405765892094,84.5817370292468,51.85479058159722,54.11564753605769
27,19.472385806278286,18.05006679822094,79.13072374131944,76.3374524238782,50.98485702123397,49.58198742988782
28,22.07302618192302,25.966081719225212,85.14477330395299,94.12622696314102,60.57838374732906,76.12774188701923
29,26.915181153095684,24.77779460351577,94.06456580528847,93.45405774238782,75.71958884214743,75.87734124599359
30,26.81481515839059,30.79650274874308,93.8087398170406,93.85047325721153,75.26448567708333,75.71645883413461
31,27.002972800380146,22.641929966815486,93.83884006076389,95.07571489383012,75.38013947315704,75.45306865985577
32,27.044365976356033,25.480322310939812,93.91030857705663,93.70226737780449,75.38775582598825,76.50005634014423
33,26.799639851873756,27.46978889541844,93.86805346888355,93.86424529246796,75.22890791933762,75.02801357171475
34,26.890952138437164,26.054531045855047,93.82965870392628,93.83435371594551,75.19750350560898,74.5884039463141
35,26.962909541323654,23.65857912446504,93.98443760016026,94.09930889423077,75.49412393162393,78.0517578125
36,27.04818679838099,24.600859573527348,94.03029221754808,93.83169320913461,75.68755842681624,73.75472631209936
37,27.05335138674475,27.984910163264242,93.95746736444978,95.80798026842949,75.66554403712607,75.1395983573718
38,27.094602758558388,27.47348321749805,93.95318968683226,94.21136318108974,75.71698050213675,74.81626852964743
39,27.14342023088382,22.894200125852457,93.89163286258012,93.24904221754808,75.51530365251068,75.55228991386218
40,27.11574959525695,32.444641459670635,93.88954619057158,93.6847393329327,75.45385116185898,75.91145833333333
41,27.08411683855403,26.2108969277559,93.8690446380876,93.19911858974359,75.44107029580663,74.609375
42,26.958596777075375,30.561867994375717,93.7919421073718,93.79710662059296,75.15665690104167,73.86709359975961
43,26.95450811431958,22.94224183423779,93.7496348323985,92.39267202524039,75.05096696380876,74.23314803685898
44,26.83868054701732,27.761413835569936,93.6252691806891,95.3876201923077,74.73927033253204,78.85679587339743
45,26.74351058747524,25.257825927247698,93.60341129139957,92.8973858173077,74.59805480435364,74.06866611578525
46,26.65409296967535,34.79949149204167,93.45332740718483,93.06484124599359,74.3808844150641,72.90289463141025
47,26.637287745745773,31.433723268161813,93.36213984041133,93.70837089342949,74.11227756076389,76.45420172275641
48,26.580123379062382,26.03398289048868,93.31159021100427,92.90333283253204,74.00684845753204,73.13529772636218
49,26.57787504626645,21.876393867262568,93.31305088141026,93.1056878505609,73.98546006944444,73.42435396634616
50,26.76854729754293,23.92080022590474,93.32452757745726,92.80254657451923,73.97753071581197,71.2882799979968
51,26.529298084923344,22.597732855293614,93.31957173143697,93.80289713541667,73.86192908653845,73.70730669070512
52,26.668063175601837,22.188498325956363,93.4085682926015,94.14954552283653,74.21801966479701,73.84580954527243
53,26.552093096650562,35.10531012518093,93.35734049479167,93.8381097255609,74.05004256810898,74.40968048878204
54,26.602201668879925,34.53804130531338,93.20626544137286,94.09273587740384,73.8452878772703,72.4697015224359
55,26.645402659590427,30.866457903900972,93.27366494724893,95.25193434495192,73.78889556623932,74.06631860977564
56,26.56882496458343,21.254842535210347,93.24945955194978,92.50613481570512,73.64559336605235,71.74166165865384
57,26.604449318642292,33.36822650487669,93.17694769965277,93.19520607972757,73.54804144965277,70.59889573317308
58,26.67008481346644,19.553741542574688,93.16641000600961,93.5642340244391,73.46264439770299,73.81732647235577
59,26.555368263242592,24.034453806156915,93.14502161792201,93.1221203926282,73.43343098958333,72.8183844150641
60,26.63387388462185,24.405752685828467,93.14121344150641,92.70050831330128,73.38632436899039,73.12340369591345
61,26.585349334865555,32.255026182088145,93.1629148303953,93.81009615384616,73.38235969217415,73.22716346153845
62,26.53752461941833,22.436153583545,93.13813560029381,94.91686698717949,73.44083867521368,76.0028545673077
63,26.535457054773968,28.916092685525282,93.1293194110577,93.64404922876602,73.33363590077457,73.80840594951923
64,26.568852970488052,27.84241794467044,93.04246168870192,93.68192232572116,73.19179437099359,72.66939603365384
65,26.617736955483753,25.33097833046355,93.2079347789797,93.1972405849359,73.55743147369124,75.76872996794872
66,26.886410078686527,30.451092117740654,93.53340344551282,93.75641651642628,74.38980493790064,74.52079577323718
67,26.834642606540623,26.372384742368013,93.37507720686432,93.77754407051282,73.94685663728632,72.92464818709936
68,26.898071287406815,25.755361755951665,93.37841588207799,92.66185271434296,73.98613823784723,75.77545948517628
69,26.83596510739408,24.329328396690425,93.33751711071046,93.02133413461539,73.90199318910257,73.9955804286859
70,26.878449183753414,25.630552543467694,93.25264172676282,93.28628931290064,73.82708166399573,75.77045147235577
71,26.750073340713467,21.924349017262173,93.2319836738782,93.37815504807692,73.64841037326389,75.3704364483173
72,26.75298600548353,33.7166903886145,93.22671482705663,92.41786858974359,73.61836229634082,70.82644731570512
73,26.820038499740456,29.237565946641762,93.32181490384616,93.94640800280449,73.82327348758012,72.98333583733975
74,26.77672238380481,26.590914298222724,93.35718399439102,92.76702098357372,73.85259122930022,71.79659329927884
75,26.813962632264847,25.49912230421283,93.22447165464743,93.33339593349359,73.63667284321582,74.83301407251602
76,26.85019710991118,21.55845777079081,93.24012169471153,93.99523612780449,73.69755149906517,71.80238381410257
77,26.713270680262493,26.581087410237753,93.2674049312233,93.38144155649039,73.61559745592949,74.28745367588141
78,26.785328473036106,22.448058088949974,93.25133755675748,92.35526842948718,73.65649622729701,72.38174829727564
79,26.794554348557423,27.85458053879085,93.28936715411325,92.59205353565704,73.58106303418803,71.58140524839743
80,26.693072339408417,24.396486501579577,93.37565104166667,93.80039312900641,73.78811306423611,74.39418694911859
81,26.72358316756212,29.64676425911677,93.32139756944444,93.39615259415064,73.73255542200855,72.04073392427884
82,26.712699874471394,22.65914188611966,93.29025398971689,92.61568509615384,73.63651634281517,70.76979417067308
83,26.728255099083622,19.948509527132394,93.32896175547543,93.53074293870192,73.76229049813034,73.26910556891025
84,26.906021881434654,29.847848334373573,93.74806982839209,96.12536308092949,74.83995225694444,74.89858774038461
85,26.934930741404877,35.03224949694023,93.69110368255876,93.66016877003204,74.55277402176816,76.40177408854167
86,26.90396802038209,23.912328422762073,93.57320671407585,93.48457532051282,74.28281083066238,75.33584985977564
87,26.862494897893352,26.72032500879887,93.6545869224092,93.67112379807692,74.44197173811432,76.78191356169872
88,26.76271008961221,26.96943972338564,93.50820688100961,93.9129169170673,74.11399906517094,74.27743765024039
89,26.810755320721203,24.637834614668137,93.47502879607372,93.96816155849359,74.07826480702457,74.3949694511218
90,26.740897685798824,26.553110247285357,93.44957139756944,93.09207231570512,73.98739024105235,73.00133338341345
91,26.787662068365986,26.733950824405138,93.43579936231303,92.89003029847757,74.00225777911325,72.72557967748398
92,26.85461645350497,25.075121971593887,93.48154964610043,94.10149989983974,74.15108966012286,74.97182992788461
93,27.15928536411534,26.677626527885877,93.79861945779915,93.60852363782051,74.92748814770299,77.20055213341345
94,27.29472872398348,20.440011632079496,94.08235468416133,93.12337239583333,75.59715336204594,74.80562650240384
95,27.142289413473545,28.894344224618415,93.8377445579594,94.3813226161859,75.11648846487714,75.46965770232372
96,26.77584471521724,29.106477871009982,93.8506819244124,95.70907201522436,74.9916011451656,78.85491786858975
97,26.78931758368117,24.153252093169197,94.39514681824252,93.84390024038461,76.06180305154915,75.15211838942308
98,26.659383998467373,22.618542921060744,94.17234241452991,93.511962890625,75.70863381410257,74.53769781650641
99,26.871376593780315,23.9290166167208,93.91646425948184,95.28918144030449,75.2132578792735,75.07496369190704
100,26.107411929684826,32.92068921159588,93.82032084668803,94.42248222155449,74.79357597155449,73.95332532051282
101,25.89474408328533,31.520642223888363,94.11005525507478,94.2356207431891,75.3940680088141,75.47497871594551
102,13.179733060427711,15.807846925110752,93.56605986244658,93.5565655048077,73.81597013555022,74.62612054286859
103,13.29522605584218,10.946761488866729,93.88954619057158,93.57863206129808,74.62314703525641,74.27117763421475
104,12.558315257040354,20.285885949929554,94.14537217881944,95.78810471754808,75.21487505008012,78.3027844551282
105,14.015765156437698,15.5504017275973,94.19503497262286,93.45687474959936,75.60852572449252,74.9126727764423
106,14.77836225500219,14.514537478295656,94.35028337005876,95.11045798277243,75.83054762620192,75.26652018229167
107,13.985026000656633,12.039031904388535,94.26415598290598,93.8590807792468,75.69496611244658,75.1812274639423
108,12.057275300670383,11.152630246220491,94.23087356436966,93.70930989583333,75.46418018830128,72.52478966346155
109,11.735815768440565,9.477651831359626,94.25513112646902,94.35456104767628,75.62021108774039,77.95050205328525
110,11.991939478959793,10.58758512688562,94.24605410323184,94.82061924078526,75.68901909722223,71.47701948116988
111,13.553001134314089,14.159867380363627,94.18966179220085,94.38351362179488,75.51196497729701,77.17113005809296
112,13.68899586949593,16.51884585284055,94.18423644497864,93.42275766225961,75.58442466279381,75.9487054286859
113,14.09646062584769,14.114980841079392,94.16973407451923,93.6138446514423,75.39031199919872,74.00230994591345
114,14.939849727046795,15.395147355798727,94.15632720686432,93.9784905849359,75.53283169738248,75.14147636217949
115,16.938391466426033,11.52536292020709,94.12972213875534,94.6235852363782,75.53335336538461,77.37317207532051
116,17.950116184659493,22.12454582561375,94.19706947783119,94.28350986578526,75.62083708934296,76.09268579727564
117,18.156763774589596,12.300036558738121,94.20619866786859,93.58614408052884,75.55015107505342,75.7236578525641
118,18.217302419308922,14.810231309348287,94.21251085069444,95.04895332532051,75.60117020566238,75.8823492588141
